window,serviceName,spans
-720.0,checkoutservice,112
-720.0,currencyservice,364
-720.0,emailservice,13
-720.0,frontendservice,1505
-720.0,paymentservice,11
-720.0,productcatalogservice,814
-720.0,recommendationservice,218
-710.0,checkoutservice,68
-710.0,currencyservice,448
-710.0,emailservice,9
-710.0,frontendservice,1622
-710.0,paymentservice,7
-710.0,productcatalogservice,809
-710.0,recommendationservice,216
-700.0,checkoutservice,58
-700.0,currencyservice,304
-700.0,emailservice,9
-700.0,frontendservice,1342
-700.0,paymentservice,7
-700.0,productcatalogservice,732
-700.0,recommendationservice,198
-690.0,checkoutservice,54
-690.0,currencyservice,343
-690.0,emailservice,8
-690.0,frontendservice,1353
-690.0,paymentservice,6
-690.0,productcatalogservice,699
-690.0,recommendationservice,188
-680.0,checkoutservice,74
-680.0,currencyservice,399
-680.0,emailservice,9
-680.0,frontendservice,1377
-680.0,paymentservice,7
-680.0,productcatalogservice,675
-680.0,recommendationservice,180
-670.0,checkoutservice,68
-670.0,currencyservice,410
-670.0,emailservice,8
-670.0,frontendservice,1481
-670.0,paymentservice,6
-670.0,productcatalogservice,750
-670.0,recommendationservice,194
-660.0,checkoutservice,64
-660.0,currencyservice,395
-660.0,emailservice,9
-660.0,frontendservice,1495
-660.0,paymentservice,7
-660.0,productcatalogservice,759
-660.0,recommendationservice,202
-650.0,checkoutservice,66
-650.0,currencyservice,363
-650.0,emailservice,9
-650.0,frontendservice,1422
-650.0,paymentservice,7
-650.0,productcatalogservice,736
-650.0,recommendationservice,198
-640.0,checkoutservice,90
-640.0,currencyservice,451
-640.0,emailservice,11
-640.0,frontendservice,1651
-640.0,paymentservice,9
-640.0,productcatalogservice,829
-640.0,recommendationservice,220
-630.0,checkoutservice,58
-630.0,currencyservice,366
-630.0,emailservice,8
-630.0,frontendservice,1384
-630.0,paymentservice,6
-630.0,productcatalogservice,703
-630.0,recommendationservice,190
-620.0,checkoutservice,20
-620.0,currencyservice,354
-620.0,emailservice,5
-620.0,frontendservice,1275
-620.0,paymentservice,3
-620.0,productcatalogservice,619
-620.0,recommendationservice,168
-610.0,checkoutservice,138
-610.0,currencyservice,444
-610.0,emailservice,13
-610.0,frontendservice,1514
-610.0,paymentservice,11
-610.0,productcatalogservice,772
-610.0,recommendationservice,200
-600.0,checkoutservice,76
-600.0,currencyservice,449
-600.0,emailservice,10
-600.0,frontendservice,1614
-600.0,paymentservice,8
-600.0,productcatalogservice,801
-600.0,recommendationservice,210
-590.0,checkoutservice,58
-590.0,currencyservice,367
-590.0,emailservice,8
-590.0,frontendservice,1397
-590.0,paymentservice,6
-590.0,productcatalogservice,716
-590.0,recommendationservice,192
-580.0,checkoutservice,46
-580.0,currencyservice,430
-580.0,emailservice,8
-580.0,frontendservice,1462
-580.0,paymentservice,6
-580.0,productcatalogservice,685
-580.0,recommendationservice,184
-570.0,checkoutservice,48
-570.0,currencyservice,326
-570.0,emailservice,8
-570.0,frontendservice,1370
-570.0,paymentservice,6
-570.0,productcatalogservice,725
-570.0,recommendationservice,198
-560.0,checkoutservice,50
-560.0,currencyservice,370
-560.0,emailservice,7
-560.0,frontendservice,1445
-560.0,paymentservice,5
-560.0,productcatalogservice,752
-560.0,recommendationservice,198
-550.0,checkoutservice,92
-550.0,currencyservice,454
-550.0,emailservice,11
-550.0,frontendservice,1620
-550.0,paymentservice,9
-550.0,productcatalogservice,801
-550.0,recommendationservice,212
-540.0,checkoutservice,54
-540.0,currencyservice,413
-540.0,emailservice,8
-540.0,frontendservice,1449
-540.0,paymentservice,6
-540.0,productcatalogservice,697
-540.0,recommendationservice,188
-530.0,checkoutservice,26
-530.0,currencyservice,339
-530.0,emailservice,6
-530.0,frontendservice,1359
-530.0,paymentservice,4
-530.0,productcatalogservice,688
-530.0,recommendationservice,188
-520.0,checkoutservice,50
-520.0,currencyservice,390
-520.0,emailservice,8
-520.0,frontendservice,1416
-520.0,paymentservice,6
-520.0,productcatalogservice,693
-520.0,recommendationservice,184
-510.0,checkoutservice,118
-510.0,currencyservice,472
-510.0,emailservice,12
-510.0,frontendservice,1526
-510.0,paymentservice,10
-510.0,productcatalogservice,745
-510.0,recommendationservice,192
-500.0,checkoutservice,76
-500.0,currencyservice,433
-500.0,emailservice,10
-500.0,frontendservice,1498
-500.0,paymentservice,8
-500.0,productcatalogservice,728
-500.0,recommendationservice,192
-490.0,checkoutservice,100
-490.0,currencyservice,371
-490.0,emailservice,12
-490.0,frontendservice,1419
-490.0,paymentservice,10
-490.0,productcatalogservice,742
-490.0,recommendationservice,196
-480.0,checkoutservice,56
-480.0,currencyservice,359
-480.0,emailservice,8
-480.0,frontendservice,1345
-480.0,paymentservice,6
-480.0,productcatalogservice,675
-480.0,recommendationservice,184
-470.0,checkoutservice,96
-470.0,currencyservice,406
-470.0,emailservice,11
-470.0,frontendservice,1524
-470.0,paymentservice,9
-470.0,productcatalogservice,781
-470.0,recommendationservice,204
-460.0,checkoutservice,76
-460.0,currencyservice,395
-460.0,emailservice,9
-460.0,frontendservice,1490
-460.0,paymentservice,7
-460.0,productcatalogservice,763
-460.0,recommendationservice,202
-450.0,checkoutservice,80
-450.0,currencyservice,410
-450.0,emailservice,11
-450.0,frontendservice,1507
-450.0,paymentservice,9
-450.0,productcatalogservice,758
-450.0,recommendationservice,202
-440.0,checkoutservice,74
-440.0,currencyservice,410
-440.0,emailservice,10
-440.0,frontendservice,1457
-440.0,paymentservice,8
-440.0,productcatalogservice,712
-440.0,recommendationservice,192
-430.0,checkoutservice,112
-430.0,currencyservice,392
-430.0,emailservice,13
-430.0,frontendservice,1540
-430.0,paymentservice,11
-430.0,productcatalogservice,809
-430.0,recommendationservice,218
-420.0,checkoutservice,76
-420.0,currencyservice,408
-420.0,emailservice,9
-420.0,frontendservice,1552
-420.0,paymentservice,7
-420.0,productcatalogservice,793
-420.0,recommendationservice,210
-410.0,checkoutservice,54
-410.0,currencyservice,369
-410.0,emailservice,8
-410.0,frontendservice,1318
-410.0,paymentservice,6
-410.0,productcatalogservice,648
-410.0,recommendationservice,174
-400.0,checkoutservice,24
-400.0,currencyservice,346
-400.0,emailservice,6
-400.0,frontendservice,1275
-400.0,paymentservice,4
-400.0,productcatalogservice,619
-400.0,recommendationservice,170
-390.0,checkoutservice,58
-390.0,currencyservice,393
-390.0,emailservice,8
-390.0,frontendservice,1386
-390.0,paymentservice,6
-390.0,productcatalogservice,686
-390.0,recommendationservice,182
-380.0,checkoutservice,30
-380.0,currencyservice,340
-380.0,emailservice,6
-380.0,frontendservice,1289
-380.0,paymentservice,4
-380.0,productcatalogservice,643
-380.0,recommendationservice,174
-370.0,checkoutservice,122
-370.0,currencyservice,401
-370.0,emailservice,15
-370.0,frontendservice,1501
-370.0,paymentservice,13
-370.0,productcatalogservice,771
-370.0,recommendationservice,208
-360.0,checkoutservice,108
-360.0,currencyservice,423
-360.0,emailservice,13
-360.0,frontendservice,1630
-360.0,paymentservice,11
-360.0,productcatalogservice,834
-360.0,recommendationservice,224
-350.0,checkoutservice,98
-350.0,currencyservice,427
-350.0,emailservice,13
-350.0,frontendservice,1581
-350.0,paymentservice,11
-350.0,productcatalogservice,789
-350.0,recommendationservice,214
-340.0,checkoutservice,136
-340.0,currencyservice,417
-340.0,emailservice,15
-340.0,frontendservice,1586
-340.0,paymentservice,13
-340.0,productcatalogservice,834
-340.0,recommendationservice,222
-330.0,checkoutservice,18
-330.0,currencyservice,394
-330.0,emailservice,5
-330.0,frontendservice,1482
-330.0,paymentservice,3
-330.0,productcatalogservice,728
-330.0,recommendationservice,194
-320.0,checkoutservice,74
-320.0,currencyservice,399
-320.0,emailservice,10
-320.0,frontendservice,1460
-320.0,paymentservice,8
-320.0,productcatalogservice,729
-320.0,recommendationservice,196
-310.0,checkoutservice,92
-310.0,currencyservice,404
-310.0,emailservice,12
-310.0,frontendservice,1575
-310.0,paymentservice,10
-310.0,productcatalogservice,809
-310.0,recommendationservice,220
-300.0,checkoutservice,110
-300.0,currencyservice,400
-300.0,emailservice,11
-300.0,frontendservice,1513
-300.0,paymentservice,9
-300.0,productcatalogservice,792
-300.0,recommendationservice,210
-290.0,checkoutservice,64
-290.0,currencyservice,393
-290.0,emailservice,9
-290.0,frontendservice,1498
-290.0,paymentservice,7
-290.0,productcatalogservice,768
-290.0,recommendationservice,206
-280.0,checkoutservice,86
-280.0,currencyservice,349
